order_dow,order_hour_of_day,days_since_prior_order,avg_reordered
5,3,,0.0
1,4,,0.0
2,1,,0.0
2,4,,0.0
4,2,,0.0
1,1,,0.0
5,1,,0.0
6,3,,0.0
5,5,,0.0
5,4,,0.0
6,1,,0.0
3,1,,0.0
1,5,,0.0
2,2,,0.0
0,1,,0.0
3,2,,0.0
1,2,,0.0
6,2,,0.0
4,1,,0.0
1,3,,0.0
0,3,,0.0
0,4,,0.0
1,1,0.0,0.70138888888888884
0,1,0.0,0.92626728110599077
4,1,0.0,0.61538461538461542
3,1,0.0,0.74576271186440679
2,1,0.0,0.89781021897810231
2,5,2.0,0.60655737704918034
1,1,2.0,0.62452830188679243
0,1,2.0,0.60248447204968936
2,2,2.0,0.6649616368286444
3,5,2.0,0.66251728907330576
4,1,2.0,0.58587786259541985
2,1,2.0,0.50909090909090893
5,4,2.0,0.6491803278688526
4,5,2.0,0.63847429519071308
4,4,2.0,0.68702290076335881
0,2,2.0,0.646532438478747
6,3,2.0,0.61867704280155633
6,5,2.0,0.66320166320166307
5,1,2.0,0.66253869969040236
1,5,3.0,0.73903743315508019
6,5,3.0,0.7522768670309653
1,4,3.0,0.68632707774798929
5,5,3.0,0.67018779342723
6,3,3.0,0.65465465465465467
0,5,3.0,0.66132264529058127
0,3,3.0,0.69480519480519487
6,1,3.0,0.64411764705882357
3,1,3.0,0.622972972972973
4,2,3.0,0.65372168284789656
5,2,3.0,0.55166051660516591
4,1,3.0,0.58928571428571419
5,1,3.0,0.635593220338983
5,4,3.0,0.6556603773584907
2,2,3.0,0.55890410958904146
0,1,3.0,0.59952606635071093
0,2,4.0,0.69178082191780832
5,5,4.0,0.69175991861648023
1,3,4.0,0.68063872255489011
4,5,4.0,0.58958333333333335
1,1,4.0,0.57681940700808654
5,3,4.0,0.59393939393939388
5,1,4.0,0.61790182868142451
6,5,4.0,0.62519201228878629
1,2,4.0,0.62537313432835839
5,4,4.0,0.71897810218978109
2,2,4.0,0.54497354497354478
3,5,4.0,0.58966565349544064
6,1,4.0,0.62332301341589258
1,5,4.0,0.73584905660377353
0,4,4.0,0.65594059405940586
2,3,4.0,0.69951923076923073
4,1,4.0,0.60609243697479
3,1,4.0,0.644736842105263
3,2,4.0,0.64691358024691348
2,5,4.0,0.69058823529411761
2,1,4.0,0.66189856957087123
6,4,4.0,0.51736111111111116
5,2,5.0,0.61967213114754083
2,3,5.0,0.65371621621621623
1,4,5.0,0.715767634854772
4,1,5.0,0.6220275344180225
3,5,5.0,0.71526822558459424
0,1,5.0,0.68316831683168333
2,1,5.0,0.61781285231116123
1,1,5.0,0.711053089643168
1,2,5.0,0.69904458598726127
0,5,5.0,0.685543964232489
1,5,5.0,0.63066666666666638
3,2,5.0,0.62222222222222212
5,4,5.0,0.69281045751634
4,2,5.0,0.58347978910369092
1,3,5.0,0.578125
3,4,5.0,0.58687258687258692
6,1,5.0,0.60672975814931651
3,1,5.0,0.62611607142857151
3,3,5.0,0.61052631578947381
4,5,5.0,0.71811023622047243
6,1,6.0,0.66473243068987742
3,4,6.0,0.56265984654731449
2,5,6.0,0.71548619447779127
4,1,6.0,0.67305751765893052
0,1,6.0,0.6475265017667845
3,5,6.0,0.69720101781170474
0,4,6.0,0.59670164917541213
2,2,6.0,0.58365758754863817
6,2,6.0,0.64185544768069047
5,5,6.0,0.65678776290630958
0,5,6.0,0.70881226053639845
1,3,6.0,0.66019417475728148
6,5,6.0,0.72352941176470575
5,4,6.0,0.68222222222222217
2,1,6.0,0.66526610644257689
6,4,6.0,0.67432150313152406
4,2,6.0,0.59363957597173145
1,4,6.0,0.64450127877237839
1,1,6.0,0.62719298245614052
5,2,6.0,0.62790697674418616
4,5,6.0,0.67560975609756091
6,1,7.0,0.653384541526644
5,3,7.0,0.61723700887199
6,2,7.0,0.63235294117647056
5,5,7.0,0.67674858223062384
0,5,7.0,0.66338134950720229
0,2,7.0,0.64032258064516134
2,5,7.0,0.65271317829457387
0,1,7.0,0.61934369602763384
0,4,7.0,0.70231213872832354
3,2,7.0,0.53864168618266972
4,2,7.0,0.55429864253393657
1,1,7.0,0.68004223864836333
5,1,7.0,0.63628762541805994
5,4,7.0,0.66091954022988486
4,1,7.0,0.62962962962962954
2,2,7.0,0.63649635036496355
6,4,7.0,0.74999999999999978
4,5,7.0,0.66516347237880513
3,4,7.0,0.66959578207381354
1,4,7.0,0.62481089258698952
3,1,7.0,0.63825363825363834
5,2,8.0,0.67578124999999989
5,5,8.0,0.69589552238805963
3,4,8.0,0.6711538461538461
6,3,8.0,0.63760683760683756
5,1,8.0,0.66583541147132164
1,3,8.0,0.67529411764705882
6,1,8.0,0.66289308176100625
0,5,8.0,0.70868014268727708
0,1,8.0,0.65665665665665685
1,1,8.0,0.70977917981072558
4,1,8.0,0.6529745042492916
5,4,8.0,0.73333333333333306
6,2,8.0,0.68696883852691226
2,1,8.0,0.59773662551440321
1,5,8.0,0.68248945147679319
4,3,8.0,0.650429799426934
5,5,9.0,0.62361623616236184
1,1,9.0,0.64737991266375572
4,2,9.0,0.63144329896907214
1,2,9.0,0.61578947368421044
0,3,9.0,0.62260536398467436
1,5,9.0,0.68030303030303041
5,3,9.0,0.60679611650485432
4,5,9.0,0.65530303030303
4,1,9.0,0.64072847682119227
3,5,9.0,0.70760233918128657
3,1,9.0,0.6729377713458754
0,1,9.0,0.63573883161512035
2,5,9.0,0.679945054945055
0,2,9.0,0.70925110132158575
2,2,9.0,0.754491017964072
4,4,9.0,0.53333333333333333
6,4,9.0,0.57339449541284415
6,1,10.0,0.58444022770398452
3,4,10.0,0.51904761904761909
3,2,10.0,0.66954022988505724
5,2,10.0,0.68275862068965509
3,3,10.0,0.478448275862069
0,3,10.0,0.60416666666666674
1,4,10.0,0.6837349397590361
0,4,10.0,0.50909090909090893
0,5,10.0,0.66503667481662609
3,1,10.0,0.618045112781955
6,4,10.0,0.62085308056872035
1,2,10.0,0.66749379652605456
5,1,11.0,0.58171206225680938
1,5,11.0,0.67714884696016764
6,3,11.0,0.5726141078838175
4,5,11.0,0.66101694915254217
0,1,11.0,0.55
6,2,12.0,0.6929347826086959
3,5,12.0,0.63235294117647067
0,4,12.0,0.65999999999999992
5,5,12.0,0.60790273556231
0,2,12.0,0.578021978021978
6,4,13.0,0.587962962962963
1,2,13.0,0.71140939597315433
0,3,13.0,0.59233449477351929
5,2,13.0,0.66107382550335569
0,4,13.0,0.46666666666666662
4,2,13.0,0.5894039735099339
3,3,13.0,0.649746192893401
3,1,13.0,0.52861035422343328
2,5,13.0,0.73333333333333328
6,1,14.0,0.51488095238095244
6,5,14.0,0.66124661246612471
2,3,14.0,0.56621004566210065
0,1,14.0,0.67886178861788615
2,1,14.0,0.58823529411764719
4,1,14.0,0.59672131147540985
6,4,14.0,0.6
1,2,15.0,0.59701492537313439
3,1,15.0,0.56302521008403361
4,2,15.0,0.61497326203208547
4,1,15.0,0.575
2,5,15.0,0.70516717325227951
1,4,15.0,0.58695652173913038
4,4,15.0,0.61788617886178854
0,2,15.0,0.56726457399103136
3,5,16.0,0.61849710982658956
4,5,16.0,0.68322981366459612
5,5,16.0,0.49999999999999994
0,4,16.0,0.5
3,1,16.0,0.44108761329305124
0,1,16.0,0.5714285714285714
4,4,16.0,0.47440273037542674
0,5,16.0,0.64736842105263148
0,2,16.0,0.56716417910447758
3,1,17.0,0.51923076923076916
2,1,17.0,0.70080862533692712
4,2,17.0,0.527027027027027
0,1,17.0,0.54022988505747127
6,5,17.0,0.591304347826087
4,3,18.0,0.39000000000000007
4,4,18.0,0.77235772357723564
2,1,18.0,0.791469194312796
1,4,18.0,0.730263157894737
0,3,19.0,0.6842105263157896
0,4,19.0,0.4952380952380952
2,1,20.0,0.69523809523809521
0,1,20.0,0.49590163934426229
6,1,20.0,0.61919504643962842
3,2,21.0,0.44943820224719094
2,3,21.0,0.66666666666666663
0,3,21.0,0.58762886597938147
6,2,21.0,0.57382550335570459
1,5,21.0,0.57543859649122808
5,1,21.0,0.50641025641025639
1,3,22.0,0.74712643678160917
5,5,22.0,0.62184873949579833
2,4,23.0,0.6333333333333333
6,4,23.0,0.67460317460317454
6,5,23.0,0.48201438848920863
1,2,24.0,0.59615384615384615
1,4,24.0,0.70114942528735635
3,1,25.0,0.56164383561643827
2,2,26.0,0.45714285714285718
5,2,26.0,0.86956521739130432
4,1,26.0,0.67226890756302515
0,3,26.0,0.49137931034482757
2,1,27.0,0.62376237623762365
0,2,28.0,0.61904761904761907
6,3,28.0,0.35643564356435642
3,1,29.0,0.48863636363636359
3,5,29.0,0.66666666666666674
4,4,29.0,0.66666666666666652
5,1,29.0,0.55999999999999994
2,5,30.0,0.53951149425287359
6,4,30.0,0.45521601685985247
6,3,30.0,0.47732997481108308
1,4,30.0,0.46625766871165636
0,1,30.0,0.48057616761239641
0,2,30.0,0.470997679814385
4,1,30.0,0.45256270447110147
5,1,30.0,0.42202380952380952
5,3,30.0,0.45862884160756495
4,3,30.0,0.47192513368983957
1,1,30.0,0.4858104858104858
1,2,30.0,0.44278606965174122
6,1,30.0,0.41703594288527818
3,4,30.0,0.49653579676674364
2,3,30.0,0.45347467608951708
6,2,30.0,0.46452223273415316
4,2,30.0,0.43984962406015038
3,2,30.0,0.34978540772532185
4,4,30.0,0.43227326266195526
2,1,30.0,0.44629014396456262
4,5,30.0,0.53772766695576768
1,3,30.0,0.48088235294117654
3,5,30.0,0.53022875816993464
1,5,30.0,0.44617563739376775
5,5,30.0,0.45494643982356653
3,3,30.0,0.52338129496402874
5,4,30.0,0.47470101195952147
3,2,1.0,0.73705179282868527
4,5,1.0,0.63380281690140827
3,1,1.0,0.58139534883720934
6,3,1.0,0.62500000000000022
0,1,1.0,0.52380952380952384
1,2,1.0,0.571917808219178
5,2,1.0,0.44758064516129037
2,0,,0.0
5,0,,0.0
1,0,,0.0
4,0,,0.0
6,0,,0.0
0,0,2.0,0.61477045908183636
3,0,2.0,0.60632688927943745
4,0,2.0,0.598569969356486
1,0,2.0,0.61014994232987307
2,0,2.0,0.56113537117903922
3,0,3.0,0.63324538258575191
4,0,3.0,0.62446483180428158
6,0,3.0,0.58180428134556561
1,0,3.0,0.65761316872427977
0,0,3.0,0.62363834422657938
2,0,3.0,0.68948891031822568
1,0,4.0,0.67867435158501455
0,0,4.0,0.65611111111111153
5,0,4.0,0.63434760185662731
4,0,4.0,0.66052631578947363
6,0,4.0,0.65827814569536414
2,0,4.0,0.61944777911164473
3,0,5.0,0.59540983606557374
5,0,5.0,0.60750853242320846
0,0,5.0,0.68750000000000022
6,0,5.0,0.6314631463146313
2,0,5.0,0.66793271839392288
1,0,5.0,0.63394178589047845
5,0,6.0,0.66749875187219176
2,0,6.0,0.678889470927187
1,0,6.0,0.68566775244299671
6,0,6.0,0.6627861854870003
3,0,6.0,0.6373918829008649
0,0,6.0,0.65836844121026428
6,0,7.0,0.65388155876035581
1,0,7.0,0.68157894736842073
0,0,7.0,0.64496418036241054
4,0,7.0,0.65130151843817774
3,0,7.0,0.62015915119363363
5,0,7.0,0.68177816901408472
2,0,7.0,0.64103730664240222
5,0,8.0,0.66283141570785375
6,0,8.0,0.64133876074174567
2,0,8.0,0.65454545454545454
1,0,8.0,0.68637992831541239
4,0,8.0,0.66183924692252016
0,0,8.0,0.69275362318840594
3,0,8.0,0.668108108108108
5,0,9.0,0.603071948261924
2,0,9.0,0.68308702791461406
3,0,9.0,0.6694373401534528
0,0,9.0,0.64816933638443952
4,0,9.0,0.63406940063091488
6,0,10.0,0.6147308781869687
2,0,10.0,0.605839416058394
6,0,11.0,0.65757162346521136
4,0,11.0,0.62929292929292946
0,0,11.0,0.60948905109489049
5,0,12.0,0.62245989304812821
1,0,12.0,0.67779056386651293
4,0,12.0,0.61041666666666661
3,0,13.0,0.622418879056047
2,0,13.0,0.60565476190476208
4,0,13.0,0.61295971978984254
1,0,13.0,0.62546468401487
0,0,13.0,0.7321688500727801
2,0,14.0,0.56514657980456018
4,0,14.0,0.64312977099236646
6,0,14.0,0.53281580804516582
1,0,15.0,0.5934819897084046
2,0,15.0,0.60795454545454553
0,0,15.0,0.61464750171115679
6,0,15.0,0.62898936170212794
3,0,16.0,0.55624036979969183
2,0,17.0,0.67276422764227639
5,0,17.0,0.6373333333333332
3,0,17.0,0.581439393939394
4,0,17.0,0.661818181818182
1,0,17.0,0.60854700854700849
3,0,19.0,0.56967213114754112
1,0,20.0,0.65925925925925932
6,0,20.0,0.53465346534653468
1,0,21.0,0.61511423550087863
2,0,22.0,0.50113895216400917
0,0,23.0,0.5341246290801186
0,0,25.0,0.54958677685950408
0,0,26.0,0.44223107569721115
4,0,27.0,0.28061224489795916
3,0,27.0,0.54726368159203975
5,0,27.0,0.45108695652173908
3,0,28.0,0.40641711229946526
0,0,28.0,0.53773584905660388
0,0,29.0,0.48363636363636359
4,0,30.0,0.4429967426710098
5,0,30.0,0.43432465923172242
6,0,30.0,0.438514244500541
0,0,30.0,0.4325084364454444
2,0,30.0,0.4477144646211646
1,0,30.0,0.49085037674919257
3,0,1.0,0.59423076923076923
2,0,1.0,0.5919395465994961
0,0,1.0,0.68829337094499288
4,0,1.0,0.56902356902356932
6,0,1.0,0.60905840286054835
1,6,,0.0
2,6,,0.0
6,6,,0.0
3,6,,0.0
0,6,,0.0
4,6,,0.0
5,6,,0.0
2,6,0.0,0.92907801418439717
5,6,0.0,0.91324200913242026
3,6,2.0,0.655042412818096
1,6,2.0,0.67358857884490608
6,6,2.0,0.65839041095890416
2,6,2.0,0.660077145612343
4,6,2.0,0.67449018853405163
0,6,2.0,0.61348314606741583
5,6,2.0,0.691894312583968
1,6,3.0,0.73947288700393821
2,6,3.0,0.68653516295025718
6,6,3.0,0.69698910954516324
4,6,3.0,0.69375772558714466
3,6,3.0,0.69778869778869779
0,6,3.0,0.67025733093955731
5,6,3.0,0.73160173160173159
2,6,4.0,0.7464068987543917
1,6,4.0,0.73320255026974
4,6,4.0,0.7233984052790764
0,6,4.0,0.72837774661056531
6,6,4.0,0.68040147913365034
5,6,4.0,0.66976528003718339
3,6,4.0,0.71244784422809482
2,6,5.0,0.73951497860199722
4,6,5.0,0.70497362471740754
6,6,5.0,0.7134474327628364
0,6,5.0,0.72350230414746564
5,6,5.0,0.69126265316995217
1,6,5.0,0.74155809625099711
0,6,6.0,0.7131711794401101
2,6,6.0,0.72699386503067476
1,6,6.0,0.74181715575620744
5,6,6.0,0.69202279202279215
3,6,6.0,0.70819473843362579
4,6,6.0,0.735576923076923
6,6,6.0,0.69170673076923073
4,6,7.0,0.71731214829526657
6,6,7.0,0.72300838574423487
1,6,7.0,0.75921307841507324
5,6,7.0,0.72836734693877558
0,6,7.0,0.71891218600788842
3,6,7.0,0.74586288416075652
2,6,7.0,0.722750997850783
3,6,8.0,0.70635559131134373
4,6,8.0,0.69898185037627247
0,6,8.0,0.701796821008984
1,6,8.0,0.713561190738699
5,6,8.0,0.70006281407035154
2,6,8.0,0.74455445544554455
4,6,9.0,0.69796454366382155
6,6,9.0,0.714074074074074
2,6,9.0,0.72733999260081383
0,6,9.0,0.69200264375413056
5,6,9.0,0.6908899420747765
4,6,10.0,0.69045936395759711
2,6,10.0,0.64864864864864857
6,6,10.0,0.69767441860465129
0,6,10.0,0.65537848605577675
3,6,10.0,0.69165727170236757
1,6,10.0,0.72447724477244735
5,6,10.0,0.65954606141522054
3,6,11.0,0.59075907590759069
5,6,11.0,0.6544996853366899
3,6,12.0,0.64411247803163452
2,6,12.0,0.68154158215010163
5,6,12.0,0.66364460562103356
4,6,12.0,0.68523316062176165
5,6,13.0,0.62788259958071269
0,6,13.0,0.64611005692599632
4,6,13.0,0.64864864864864857
2,6,13.0,0.64335664335664333
1,6,13.0,0.75104777870913653
3,6,14.0,0.67487684729064046
1,6,14.0,0.73979238754325249
0,6,14.0,0.69851517107811478
2,6,14.0,0.63915343915343914
5,6,14.0,0.66343825665859557
0,6,15.0,0.62103929024081117
4,6,15.0,0.633711507293355
2,6,15.0,0.66069745523091417
5,6,15.0,0.57602339181286566
4,6,16.0,0.61682242990654212
1,6,16.0,0.61862244897959173
5,6,16.0,0.58894230769230782
1,6,17.0,0.74068965517241381
0,6,17.0,0.62033898305084745
5,6,17.0,0.70876671619613651
6,6,17.0,0.58522727272727271
5,6,18.0,0.59259259259259256
4,6,18.0,0.61538461538461542
5,6,19.0,0.673828125
1,6,19.0,0.57619047619047614
6,6,19.0,0.56382978723404242
0,6,19.0,0.575
2,6,19.0,0.53539823008849541
0,6,20.0,0.61802575107296143
3,6,20.0,0.59354838709677415
6,6,21.0,0.62444444444444447
5,6,21.0,0.67110266159695808
1,6,21.0,0.67846153846153834
3,6,22.0,0.63983050847457634
1,6,22.0,0.68174204355108881
5,6,22.0,0.680672268907563
2,6,23.0,0.65269461077844315
6,6,23.0,0.61842105263157887
3,6,24.0,0.60836501901140694
2,6,24.0,0.58232931726907633
4,6,24.0,0.627906976744186
1,6,24.0,0.59633027522935789
4,6,25.0,0.51502145922746778
2,6,25.0,0.67905405405405417
3,6,25.0,0.525096525096525
0,6,26.0,0.55704697986577179
5,6,27.0,0.6223776223776224
1,6,27.0,0.54337899543379
0,6,27.0,0.67142857142857149
1,6,28.0,0.635164835164835
3,6,29.0,0.5083333333333333
1,6,29.0,0.5307017543859649
4,6,29.0,0.69491525423728817
5,6,29.0,0.559670781893004
2,6,30.0,0.48965873836608059
0,6,30.0,0.457974457974458
1,6,30.0,0.48661857109611356
6,6,30.0,0.48549673676577215
3,6,30.0,0.50400220811482155
5,6,30.0,0.4667469154378574
4,6,30.0,0.51638591117917276
6,6,1.0,0.62203626220362629
1,6,1.0,0.6340852130325817
2,6,1.0,0.65684931506849331
5,6,1.0,0.660611065235343
4,6,1.0,0.69956709956709962
3,6,1.0,0.65433212996389889
3,7,,0.0
